dates;spei01;prov
16/01/1963;-0.6;BIVG
15/02/1963;0.1;BIVG
16/03/1963;1;BIVG
16/04/1963;-0.1;BIVG
16/05/1963;0.3;BIVG
16/06/1963;1.6;BIVG
16/07/1963;-0.5;BIVG
16/08/1963;1.9;BIVG
16/09/1963;-0.5;BIVG
16/10/1963;-0.8;BIVG
16/11/1963;0.7;BIVG
16/12/1963;-1.7;BIVG
16/01/1964;-0.7;BIVG
15/02/1964;-0.8;BIVG
16/03/1964;1.2;BIVG
16/04/1964;0.2;BIVG
16/05/1964;-0.9;BIVG
16/06/1964;-1.3;BIVG
16/07/1964;-1.2;BIVG
16/08/1964;0.1;BIVG
16/09/1964;0;BIVG
16/10/1964;-0.3;BIVG
16/11/1964;-1.6;BIVG
16/12/1964;-0.9;BIVG
16/01/1965;0.7;BIVG
15/02/1965;-0.9;BIVG
16/03/1965;1.1;BIVG
16/04/1965;0.6;BIVG
16/05/1965;1.1;BIVG
16/06/1965;0;BIVG
16/07/1965;1.3;BIVG
16/08/1965;0.7;BIVG
16/09/1965;2.5;BIVG
16/10/1965;-1.6;BIVG
16/11/1965;1;BIVG
16/12/1965;1.9;BIVG
16/01/1966;0.7;BIVG
15/02/1966;0.9;BIVG
16/03/1966;-0.2;BIVG
16/04/1966;0.5;BIVG
16/05/1966;-0.1;BIVG
16/06/1966;0;BIVG
16/07/1966;1.1;BIVG
16/08/1966;0.9;BIVG
16/09/1966;-1.4;BIVG
16/10/1966;0.1;BIVG
16/11/1966;0.5;BIVG
16/12/1966;1.3;BIVG
16/01/1967;-0.5;BIVG
15/02/1967;0.1;BIVG
16/03/1967;-0.3;BIVG
16/04/1967;-0.7;BIVG
16/05/1967;0.8;BIVG
16/06/1967;-0.7;BIVG
16/07/1967;-1.2;BIVG
16/08/1967;0.7;BIVG
16/09/1967;1.4;BIVG
16/10/1967;-0.6;BIVG
16/11/1967;0.4;BIVG
16/12/1967;0.2;BIVG
16/01/1968;1.4;BIVG
15/02/1968;0;BIVG
16/03/1968;-0.6;BIVG
16/04/1968;0;BIVG
16/05/1968;1.4;BIVG
16/06/1968;0;BIVG
16/07/1968;0.3;BIVG
16/08/1968;1.9;BIVG
16/09/1968;1.9;BIVG
16/10/1968;-0.7;BIVG
16/11/1968;0.2;BIVG
16/12/1968;0.9;BIVG
16/01/1969;-0.6;BIVG
15/02/1969;0.3;BIVG
16/03/1969;0.6;BIVG
16/04/1969;0.6;BIVG
16/05/1969;0.6;BIVG
16/06/1969;1.4;BIVG
16/07/1969;-0.8;BIVG
16/08/1969;0.3;BIVG
16/09/1969;-0.1;BIVG
16/10/1969;-1.8;BIVG
16/11/1969;0.4;BIVG
16/12/1969;0.1;BIVG
16/01/1970;0.7;BIVG
15/02/1970;2.3;BIVG
16/03/1970;1.1;BIVG
16/04/1970;1.3;BIVG
16/05/1970;-0.3;BIVG
16/06/1970;0.5;BIVG
16/07/1970;-0.1;BIVG
16/08/1970;0.7;BIVG
16/09/1970;-0.6;BIVG
16/10/1970;0.5;BIVG
16/11/1970;-0.6;BIVG
16/12/1970;-0.6;BIVG
16/01/1971;0.2;BIVG
15/02/1971;-0.9;BIVG
16/03/1971;0.8;BIVG
16/04/1971;-0.9;BIVG
16/05/1971;0.5;BIVG
16/06/1971;1.3;BIVG
16/07/1971;-0.9;BIVG
16/08/1971;0.5;BIVG
16/09/1971;-1.4;BIVG
16/10/1971;-1.8;BIVG
16/11/1971;0.7;BIVG
16/12/1971;-1.7;BIVG
16/01/1972;-0.1;BIVG
15/02/1972;1;BIVG
16/03/1972;-0.7;BIVG
16/04/1972;0.2;BIVG
